symbol,symbol_name,fast_ma,slow_ma,atr_config,total_return,benchmark_return,annualized_return,annualized_benchmark,annualized_excess_return,max_drawdown,trade_count,holding_ratio,eligible
000001.SH,上证综指,10,30,长窗口ATR,0.27040271155745477,0.28973705804231975,0.04191108240706454,0.04461427037618493,-0.002703187969120391,-0.23484651653638,8,0.9795779441797141,False
399001.SZ,深证成指,10,30,长窗口ATR,0.0,0.18799825949121218,0.0,0.029993057153837377,-0.029993057153837377,0.0,0,0.9795779441797141,False
399006.SZ,创业板指,10,30,长窗口ATR,0.41940552707475076,0.5029503771193011,0.06192329797510143,0.07239311275556881,-0.010469814780467379,-0.49311329297626494,8,0.9802586793737236,False
000016.SH,上证50,10,30,长窗口ATR,0.14061273385074746,-0.043010897758050226,0.022826074013990283,-0.007513324632236529,0.03033939864622681,-0.31787130464914204,6,0.9809394145677331,True
000300.SH,沪深300,10,30,长窗口ATR,0.17212340615540245,0.08796885835723467,0.02761882112939351,0.014568516085060601,0.01305030504433291,-0.23062218922494349,4,0.9802586793737236,True
000905.SH,中证500,10,30,长窗口ATR,0.2717909625347499,0.34243545124274366,0.04210630922696401,0.051815362855263114,-0.009709053628299102,-0.1801349743066215,3,0.9618788291354663,False
000852.SH,中证1000,10,30,长窗口ATR,-0.03749615677049811,0.23020960052344552,-0.006534539686133822,0.03618068123075746,-0.04271522091689128,-0.3847542988815844,3,0.9503063308373043,False
932000.SH,中证2000,10,30,长窗口ATR,0.701744848873501,0.5888259077982627,0.0954910898776482,0.08266398506961314,0.012827104808035061,-0.2853672509898627,11,0.9795779441797141,True
000001.SH,上证综指,10,30,短周期ATR,0.12408911350505414,0.28754766142377286,0.020130434540607256,0.04400376708487297,-0.023873332544265713,-0.1923491031698169,7,0.982420554428668,False
399001.SZ,深证成指,10,30,短周期ATR,0.0,0.18320936911528252,0.0,0.029078795701500848,-0.029078795701500848,0.0,0,0.9695740365111561,False
399006.SZ,创业板指,10,30,短周期ATR,0.6401078639719513,0.48020335572881123,0.0879554716858355,0.06910479271135639,0.018850678974479118,-0.34821671502894747,8,0.973630831643002,True
000016.SH,上证50,10,30,短周期ATR,0.09684434474749959,-0.04407810952313573,0.01587464681505457,-0.0076513937292399525,0.023526040544294524,-0.30575130260757266,7,0.9743069641649763,True
000300.SH,沪深300,10,30,短周期ATR,0.14103647758505122,0.08508997491257952,0.022734727341563232,0.014011419740380893,0.00872330760118234,-0.30526594150016695,6,0.9837728194726166,True
000905.SH,中证500,10,30,短周期ATR,0.138251903949846,0.3377541264481685,0.022309036199849475,0.050830514980855446,-0.02852147878100597,-0.2831491537699192,1,0.9729546991210277,False
000852.SH,中证1000,10,30,短周期ATR,0.09257669057365137,0.24070390231089078,0.015200089683373275,0.037432106610023164,-0.02223201692664989,-0.3349049633194904,1,0.9729546991210277,False
932000.SH,中证2000,10,30,短周期ATR,0.6224831244195499,0.6288774295914319,0.08595451309238178,0.08668254148951648,-0.0007280283971347057,-0.291751817893647,15,0.9729546991210277,False
000001.SH,上证综指,10,30,长周期ATR,0.29037510670955324,0.28973705804231975,0.04470290396761567,0.04461427037618493,8.863359143074234e-05,-0.21102532476371627,11,0.9632402995234853,True
399001.SZ,深证成指,10,30,长周期ATR,0.0,0.18799825949121218,0.0,0.029993057153837377,-0.029993057153837377,0.0,0,0.9639210347174949,False
399006.SZ,创业板指,10,30,长周期ATR,0.3441790147441499,0.5029503771193011,0.052049585608987536,0.07239311275556881,-0.020343527146581275,-0.4211155396650278,6,0.9802586793737236,False
000016.SH,上证50,10,30,长周期ATR,0.10518986635014693,-0.043010897758050226,0.017305502802572814,-0.007513324632236529,0.024818827434809343,-0.2993638654316595,12,0.9809394145677331,True
000300.SH,沪深300,10,30,长周期ATR,0.24834536898204695,0.08796885835723467,0.03878524289487606,0.014568516085060601,0.02421672680981546,-0.28392502902297223,8,0.9802586793737236,True
