date,symbol,open,high,low,close,volume,lppl_signal,signal_strength,position_reason,action,target_position,param_source
2025-12-12,000001.SH,3869.41,3891.81,3850.6,3889.35,573947130.0,negative_bubble,0.6786415722510304,强抄底信号 (Strong Buy),hold,1.0,default_cli
2025-12-15,000001.SH,3865.4,3896.98,3863.63,3867.92,500922790.0,negative_bubble,0.6798111862826696,强抄底信号 (Strong Buy),hold,1.0,default_cli
2025-12-16,000001.SH,3861.51,3862.43,3815.84,3824.81,512494827.0,negative_bubble,0.6800061419776644,强抄底信号 (Strong Buy),hold,1.0,default_cli
2025-12-17,000001.SH,3822.51,3881.75,3818.0,3870.28,512313692.0,negative_bubble,0.6786657249732224,强抄底信号 (Strong Buy),hold,1.0,default_cli
2025-12-18,000001.SH,3857.26,3888.29,3856.42,3876.37,461172625.0,negative_bubble,0.6772873545917921,强抄底信号 (Strong Buy),hold,1.0,default_cli
2025-12-19,000001.SH,3878.23,3902.67,3871.78,3890.45,513511893.0,negative_bubble,0.6755563056299569,强抄底信号 (Strong Buy),hold,1.0,default_cli
2025-12-22,000001.SH,3900.54,3920.01,3900.52,3917.36,522938992.0,none,0.0,无信号,hold,1.0,default_cli
2025-12-23,000001.SH,3919.11,3937.13,3910.74,3919.98,521156952.0,none,0.0,无信号,hold,1.0,default_cli
2025-12-24,000001.SH,3920.35,3947.04,3912.31,3940.95,474896447.0,negative_bubble,0.6328606000837017,强抄底信号 (Strong Buy),hold,1.0,default_cli
2025-12-25,000001.SH,3937.72,3964.07,3936.08,3959.62,469313093.0,none,0.0,无信号,hold,1.0,default_cli
2025-12-26,000001.SH,3957.83,3977.71,3945.52,3963.68,555489592.0,bubble_warning,0.42098216097600216,观察信号,reduce,0.5,default_cli
2025-12-29,000001.SH,3964.65,3983.98,3956.95,3965.28,563687197.0,negative_bubble,0.6361239746208727,强抄底信号 (Strong Buy),add,1.0,default_cli
2025-12-30,000001.SH,3947.87,3979.99,3947.42,3965.12,525932588.0,negative_bubble,0.6356697798340354,强抄底信号 (Strong Buy),hold,1.0,default_cli
2025-12-31,000001.SH,3968.73,3977.54,3955.49,3968.84,490751490.0,negative_bubble,0.6346890191423036,强抄底信号 (Strong Buy),hold,1.0,default_cli
2026-01-05,000001.SH,3986.97,4025.26,3983.58,4023.42,596950455.0,negative_bubble,0.6334723783490925,强抄底信号 (Strong Buy),hold,1.0,default_cli
2026-01-06,000001.SH,4026.02,4083.67,4025.09,4083.67,702472270.0,negative_bubble,0.6320687225376427,强抄底信号 (Strong Buy),hold,1.0,default_cli
2026-01-07,000001.SH,4083.84,4098.78,4069.44,4085.77,683384352.0,negative_bubble,0.6277375784050437,强抄底信号 (Strong Buy),hold,1.0,default_cli
2026-01-08,000001.SH,4077.72,4093.87,4067.12,4082.98,666131337.0,negative_bubble,0.6251937439625468,强抄底信号 (Strong Buy),hold,1.0,default_cli
2026-01-09,000001.SH,4086.76,4121.72,4083.62,4120.43,729837985.0,negative_bubble,0.6229131505336786,强抄底信号 (Strong Buy),hold,1.0,default_cli
2026-01-12,000001.SH,4134.89,4168.36,4119.88,4165.29,839456089.0,negative_bubble,0.7267740750295373,强抄底信号 (Strong Buy),hold,1.0,default_cli
2026-01-13,000001.SH,4169.7,4179.7,4126.23,4138.76,868382717.0,negative_bubble,0.7244573178348568,强抄底信号 (Strong Buy),hold,1.0,default_cli
2026-01-14,000001.SH,4138.65,4190.87,4103.62,4126.09,952551289.0,negative_bubble,0.723408756407999,强抄底信号 (Strong Buy),hold,1.0,default_cli
2026-01-15,000001.SH,4106.22,4133.07,4096.85,4112.6,680250791.0,negative_bubble,0.7225786913760525,强抄底信号 (Strong Buy),hold,1.0,default_cli
2026-01-16,000001.SH,4127.06,4140.23,4091.81,4101.91,763588465.0,negative_bubble,0.7219840929019621,强抄底信号 (Strong Buy),hold,1.0,default_cli
2026-01-19,000001.SH,4090.72,4126.52,4090.06,4114.0,688905870.0,negative_bubble,0.7215857399732836,强抄底信号 (Strong Buy),hold,1.0,default_cli
2026-01-20,000001.SH,4116.37,4128.93,4080.29,4113.65,734362496.0,negative_bubble,0.7210908868941678,强抄底信号 (Strong Buy),hold,1.0,default_cli
2026-01-21,000001.SH,4103.53,4135.96,4103.53,4116.94,666989507.0,negative_bubble,0.7206123937594509,强抄底信号 (Strong Buy),hold,1.0,default_cli
2026-01-22,000001.SH,4126.07,4140.84,4109.92,4122.58,709695409.0,negative_bubble,0.7200331141122749,强抄底信号 (Strong Buy),hold,1.0,default_cli
2026-01-23,000001.SH,4130.11,4143.75,4120.2,4136.16,782115454.0,negative_bubble,0.7191631656914301,强抄底信号 (Strong Buy),hold,1.0,default_cli
2026-01-26,000001.SH,4144.78,4160.99,4124.7,4132.61,887439731.0,negative_bubble,0.7181463268023949,强抄底信号 (Strong Buy),hold,1.0,default_cli
2026-01-27,000001.SH,4125.22,4158.8,4101.83,4139.9,754990869.0,negative_bubble,0.7169798030710468,强抄底信号 (Strong Buy),hold,1.0,default_cli
2026-01-28,000001.SH,4150.22,4170.15,4138.02,4151.24,823026748.0,negative_bubble,0.6545145395189012,强抄底信号 (Strong Buy),hold,1.0,default_cli
2026-01-29,000001.SH,4155.92,4170.21,4138.3,4157.98,905908371.0,negative_bubble,0.6543088457326482,强抄底信号 (Strong Buy),hold,1.0,default_cli
2026-01-30,000001.SH,4131.99,4152.85,4064.78,4117.95,804342746.0,negative_bubble,0.6540931462470887,强抄底信号 (Strong Buy),hold,1.0,default_cli
2026-02-02,000001.SH,4079.71,4103.41,4013.66,4015.75,732953698.0,negative_bubble,0.654627871370812,强抄底信号 (Strong Buy),hold,1.0,default_cli
2026-02-03,000001.SH,4043.91,4069.42,4002.78,4067.74,637684249.0,negative_bubble,0.6557698847053951,强抄底信号 (Strong Buy),hold,1.0,default_cli
2026-02-04,000001.SH,4064.68,4104.62,4062.68,4102.2,674254244.0,negative_bubble,0.6559733920625124,强抄底信号 (Strong Buy),hold,1.0,default_cli
2026-02-05,000001.SH,4075.03,4088.9,4048.94,4075.92,596722236.0,negative_bubble,0.5873447543690199,强抄底信号 (Strong Buy),hold,1.0,default_cli
2026-02-06,000001.SH,4040.3,4095.03,4029.97,4065.58,556709801.0,negative_bubble,0.5894782306281587,强抄底信号 (Strong Buy),hold,1.0,default_cli
