symbol,name,window_id,signal_date,market_env,wy_phase,wy_direction,wy_confidence,wy_signal_type,wy_bc,wy_spring,factor_signal,fwd_return,fwd_max_gain,fwd_max_dd,bench_return,excess_return
002661.SZ,克明食品,2,2019-01-04,rebound_start,accumulation,观察等待,C,spring,True,True,BUY,18.89,46.22,3.94,18.05,0.84
002661.SZ,克明食品,3,2019-08-06,bear_bottom,markdown,空仓观望,B,markdown,True,False,HOLD,-9.54,7.53,13.3,10.9,-20.44
002661.SZ,克明食品,4,2020-03-23,event_bottom,unknown,空仓观望,D,no_signal,False,False,HOLD,73.5,88.98,-0.64,35.28,38.22
002661.SZ,克明食品,5,2020-07-01,bull_start,markup,持有观察,C,markup,True,False,AVOID,-15.83,16.75,17.66,15.55,-31.38
002661.SZ,克明食品,6,2021-03-09,structural_low,markdown,空仓观望,B,markdown,True,False,HOLD,-27.62,1.64,28.7,2.78,-30.4
002661.SZ,克明食品,7,2021-07-28,structural_low,markdown,空仓观望,C,markdown,True,False,HOLD,12.55,22.24,3.8,6.19,6.36
002661.SZ,克明食品,8,2021-11-10,rebound_start,markup,持有观察,C,markup,True,False,AVOID,-5.99,5.74,16.06,-11.82,5.83
002661.SZ,克明食品,9,2022-04-27,event_bottom,unknown,空仓观望,D,no_signal,False,False,HOLD,15.75,24.95,6.72,4.02,11.73
002661.SZ,克明食品,10,2022-10-31,bear_bottom,markdown,空仓观望,C,markdown,True,False,HOLD,5.18,16.71,-0.18,13.57,-8.39
002661.SZ,克明食品,11,2022-12-23,rebound_start,markup,持有观察,C,markup,True,False,AVOID,-2.39,3.14,8.99,2.86,-5.25
002661.SZ,克明食品,12,2023-05-25,structural_low,distribution,空仓观望,C,distribution,True,False,HOLD,-15.64,0.87,16.07,-5.02,-10.62
002661.SZ,克明食品,13,2023-10-23,bear_bottom,markdown,空仓观望,B,markdown,True,False,HOLD,-14.58,17.51,28.14,2.21,-16.79
002661.SZ,克明食品,14,2024-02-05,crash_bottom,markdown,空仓观望,B,markdown,True,False,HOLD,10.13,31.55,7.96,8.74,1.39
002661.SZ,克明食品,15,2024-05-20,bull_start,markup,持有观察,C,markup,True,False,AVOID,0.68,2.5,17.52,-3.95,4.63
002661.SZ,克明食品,16,2024-09-13,bear_bottom,markdown,空仓观望,C,markdown,True,False,HOLD,20.2,50.81,3.72,21.64,-1.44
002661.SZ,克明食品,17,2024-10-08,crash_bottom,unknown,空仓观望,D,no_signal,False,False,HOLD,-0.1,21.82,11.11,-7.69,7.59
002661.SZ,克明食品,18,2025-01-13,structural_low,unknown,空仓观望,D,no_signal,False,False,HOLD,3.96,12.98,12.17,3.48,0.48
002661.SZ,克明食品,19,2025-03-04,bull_start,unknown,空仓观望,D,no_signal,False,False,HOLD,4.67,10.63,14.0,3.44,1.23
002661.SZ,克明食品,20,2025-04-07,event_bottom,markdown,空仓观望,B,markdown,True,False,HOLD,19.82,28.34,-0.46,17.08,2.74
600351.SH,亚宝药业,1,2018-10-19,bear_bottom,markdown,空仓观望,C,markdown,True,False,HOLD,1.58,10.27,13.27,21.72,-20.14
600351.SH,亚宝药业,2,2019-01-04,rebound_start,markdown,空仓观望,B,markdown,True,False,HOLD,12.77,62.06,2.48,18.05,-5.28
600351.SH,亚宝药业,3,2019-08-06,bear_bottom,markdown,空仓观望,D,markdown,True,False,HOLD,1.95,14.56,3.55,10.9,-8.95
600351.SH,亚宝药业,4,2020-03-23,event_bottom,markdown,空仓观望,B,markdown,True,False,HOLD,38.88,38.88,3.81,35.28,3.6
600351.SH,亚宝药业,5,2020-07-01,bull_start,accumulation,观察等待,C,spring,True,True,BUY,3.53,84.9,0.39,15.55,-12.02
600351.SH,亚宝药业,6,2021-03-09,structural_low,unknown,空仓观望,D,no_signal,False,False,HOLD,31.24,35.22,2.73,2.78,28.46
600351.SH,亚宝药业,7,2021-07-28,structural_low,unknown,空仓观望,D,no_signal,False,False,HOLD,32.01,62.41,1.26,6.19,25.82
600351.SH,亚宝药业,8,2021-11-10,rebound_start,markdown,空仓观望,C,markdown,True,False,HOLD,42.54,101.69,0.68,-11.82,54.36
600351.SH,亚宝药业,9,2022-04-27,event_bottom,markdown,空仓观望,C,markdown,True,False,HOLD,4.62,26.37,1.88,4.02,0.6
600351.SH,亚宝药业,10,2022-10-31,bear_bottom,markup,持有观察,C,markup,True,False,AVOID,16.39,25.83,3.15,13.57,2.82
600351.SH,亚宝药业,11,2022-12-23,rebound_start,unknown,空仓观望,D,no_signal,False,False,HOLD,14.98,21.66,4.72,2.86,12.12
600351.SH,亚宝药业,12,2023-05-25,structural_low,accumulation,空仓观望,C,accumulation,True,False,HOLD,21.24,28.76,2.51,-5.02,26.26
600351.SH,亚宝药业,13,2023-10-23,bear_bottom,unknown,空仓观望,D,no_signal,False,False,HOLD,-17.47,20.97,33.6,2.21,-19.68
600351.SH,亚宝药业,14,2024-02-05,crash_bottom,markdown,空仓观望,B,markdown,True,False,HOLD,11.88,37.62,-2.97,8.74,3.14
600351.SH,亚宝药业,15,2024-05-20,bull_start,markup,持有观察,C,markup,True,False,AVOID,-14.37,0.0,22.84,-3.95,-10.42
